ruta,archivo,categoria,bytes,md5,fecha_ingreso
01_Datos/Gobernacion_Antioquia/DAP_Planeacion/VALOR AGREGADO MUNICIPAL 2015-2022 - GOB ANT.xlsx,VALOR AGREGADO MUNICIPAL 2015-2022 - GOB ANT.xlsx,A,1025764,629c7bb1ca525be30b3967c71a5a7cac,2026-09-16
01_Datos/Gobernacion_Antioquia/Datalake/DATALAKE DEyC.xlsx,DATALAKE DEyC.xlsx,A,2406265,df18b1d9633fbe9e51fd7d7243e654d0,2026-09-16
01_Datos/Gobernacion_Antioquia/Datalake/DATALAKE EDUCACION.xlsx,DATALAKE EDUCACION.xlsx,A,7003559,a2cec84a9378fc87f68c9d9514de67da,2026-09-16
01_Datos/Gobernacion_Antioquia/Datalake/DATALAKE GESTION PUBLICA.xlsx,DATALAKE GESTION PUBLICA.xlsx,A,108275,ffec43745686a9d26b36e2b3ae3d2170,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/INDICADORES ECV 2023 MUNICIPIOS.xlsx,INDICADORES ECV 2023 MUNICIPIOS.xlsx,A,29765930,f15aba3ddf97bc1a359a2c58ef571cdf,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/Indicadores_ECV2023.xlsx,Indicadores_ECV2023.xlsx,A,27095879,44f49bb4f65a648b693e038d018b9396,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/MICRODATOS ECV 2023_DICCIONARIO.xlsx,MICRODATOS ECV 2023_DICCIONARIO.xlsx,A,492245,5bfcb4c64619c5b2c906bdc57d926610,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/MICRODATOS ECV 2023_DICCIONARIO_RES.xlsx,MICRODATOS ECV 2023_DICCIONARIO_RES.xlsx,A,82734,77efd44ef8b383b14385c32e8aa67291,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Percepcion_Seguridad/Diccionario de datos 033200250000 percepcion de seguridad_2025 (1).xlsx,Diccionario de datos 033200250000 percepcion de seguridad_2025 (1).xlsx,A,1056244,64d3b2ac361239545b1e972d8c240bfe,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Percepcion_Seguridad/encuesta_percepcion_2018-2025_anonimizada.parquet,encuesta_percepcion_2018-2025_anonimizada.parquet,E,5860770,61435cc1aaf678aab958606039980d3a,2026-09-17
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05021_conflictos_alejandria.xlsx,05021_conflictos_alejandria.xlsx,A,191761,0aa767aec124fa9d06fe1b0dba4cd996,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05036_conflictos_angelopolis.xlsx,05036_conflictos_angelopolis.xlsx,A,225232,8e243db18446dce9b04d5dba2090b260,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05040_conflictos_anori.xlsx,05040_conflictos_anori.xlsx,A,618038,ce17a2ad352a135b484bbc91ac677eb8,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05055_conflictos_argelia.xlsx,05055_conflictos_argelia.xlsx,A,571951,11f750d0a7437a109a2e1f5bb114fdbd,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05086_conflictos_belmira.xlsx,05086_conflictos_belmira.xlsx,A,339400,12ad37ff187027ace544e8d963a84d8d,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05107_conflictos_briceño.xlsx,05107_conflictos_briceño.xlsx,A,225510,a483c9df4df7521e759e9689eee57a07,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05315_conflictos_guadalupe.xlsx,05315_conflictos_guadalupe.xlsx,A,272795,33dc03f486a071439fa6ec9ec9886d76,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05321_conflictos_guatape.xlsx,05321_conflictos_guatape.xlsx,A,515529,2b4c1ef30ca8f2e321cfc8ca4c3e621e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05390_conflictos_pintada.xlsx,05390_conflictos_pintada.xlsx,A,210767,e26d88fea19ab4f6c834ed7dfae7b96e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05642_conflictos_salgar.xlsx,05642_conflictos_salgar.xlsx,A,659716,41251628d87ed9638027042ead34f223,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05847_conflictos_urrao.xlsx,05847_conflictos_urrao.xlsx,A,1557580,137fdccff9e5ecbbacd0bb03a24544e5,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05093_conflictos_betulia.xlsx,05093_conflictos_betulia.xlsx,A,596155,9d66feebd5c04228ef0f33bb88e93ca4,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05134_conflictos_campamento.xlsx,05134_conflictos_campamento.xlsx,A,455218,bd2b10fe3252cb772bd1a4667914d9d1,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05347_conflictos_heliconia.xlsx,05347_conflictos_heliconia.xlsx,A,356281,c93f081179521539b8b18112785fac3a,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05361_conflictos_ituango.xlsx,05361_conflictos_ituango.xlsx,A,820989,340caa1039c5646661ea1a057b5c6f57,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05400_conflictos_launion.xlsx,05400_conflictos_launion.xlsx,A,788173,a55dfdc297a6d16215d30440de5be77e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05591_conflictos_puertotriunfo.xlsx,05591_conflictos_puertotriunfo.xlsx,A,247239,5a3a719117b893bd06b520137551e2f9,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05647_conflictos_sanandres_cuerquia.xlsx,05647_conflictos_sanandres_cuerquia.xlsx,A,408607,28d4815413e1dcc39e71264f9376631e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05664_conflictos_sanpedro_milagros.xlsx,05664_conflictos_sanpedro_milagros.xlsx,A,922920,1e613c37043f66e270abfee7deac56b6,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05690_conflictos_santodomingo.xlsx,05690_conflictos_santodomingo.xlsx,A,835476,c78cd36f1b6c70e297acf8e7971bd933,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05790_conflictos_taraza.xlsx,05790_conflictos_taraza.xlsx,A,423765,c5e93918255334d45d92bcc94b24b5b8,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_2/05854_conflictos_valdivia.xlsx,05854_conflictos_valdivia.xlsx,A,368714,1e12449a47528de8c8ecb40b33a02975,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05002_conflictos_abejorral.xlsx,05002_conflictos_abejorral.xlsx,A,763999,8689e2faa3008bce83e511b5fe049dc1,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05031_conflictos_amalfi.xlsx,05031_conflictos_amalfi.xlsx,A,416199,9344b612bca860b1310469d4ec5be2e7,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05045_conflictos_apartado.xlsx,05045_conflictos_apartado.xlsx,A,719621,f16de35a7543f92a23448546b074e617,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05147_conflictos_carepa.xlsx,05147_conflictos_carepa.xlsx,A,555529,61f6fcfe62f328fcfa3d6a50e4f03753,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05172_conflictos_chigorodo.xlsx,05172_conflictos_chigorodo.xlsx,A,461919,f5342c1f8cb64159377b891a9fa46fcd,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05197_conflictos_cocorna.xlsx,05197_conflictos_cocorna.xlsx,A,717332,8b7fe9deac276cde0f954e7735ce6df2,2026-09-16
